source_id,source_name,source_url,event_date,country_codes,actors,event_type,confidence,notes
6:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1816-01-01,RUS,Russia,alliance,,end_date=1822-10-31
8:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1827-07-06,RUS,Russia,entente,,end_date=1829-09-14
12:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1833-03-09,RUS,Russia,defense_pact,,end_date=1839-04-19
14:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1833-07-08,RUS|TUR,Turkey,alliance,,end_date=1841-07-13
15:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1833-09-18,RUS,Russia,entente,,end_date=1853-07-02
16:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1833-09-19,RUS,Russia,alliance,,end_date=1853-07-02
15:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1833-10-15,RUS,Russia,entente,,end_date=1853-07-02
17:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1833-10-15,RUS,Russia,defense_pact,,end_date=1848-03-21
18:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1833-10-16,RUS,Russia,alliance,,end_date=1848-03-21
20:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1840-07-15,RUS,Russia,defense_pact,,end_date=1840-11-27
20:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1840-07-15,TUR,Austria-Hungary,defense_pact,,end_date=1840-11-27
20:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1840-07-15,RUS|TUR,Russia,defense_pact,,end_date=1840-11-27
21:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1844-05-22,RUS,Russia,entente,,end_date=1846-06-29
28:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1854-03-12,TUR,France,alliance,,end_date=1856-03-30
28:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1854-03-12,TUR,Turkey,entente,,end_date=1856-03-30
31:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1854-06-14,TUR,Austria-Hungary,defense_pact,,end_date=1856-03-30
28:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1855-03-15,TUR,Italy,alliance,,end_date=1856-03-30
28:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1855-03-15,TUR,Turkey,entente,,end_date=1856-03-30
39:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1859-03-03,RUS,France,entente,,end_date=1859-11-10
39:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1859-03-03,RUS,Russia,alliance,,end_date=1859-11-10
43:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1863-02-08,RUS,Russia,defense_pact,,end_date=1863-02-28
60:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1873-05-06,RUS,Russia,defense_pact,,end_date=1878-07-13
