source_id,source_name,source_url,event_date,country_codes,actors,event_type,confidence,notes
408:1946,UCDP,https://ucdp.uu.se/downloads/,1939-03-31,ISR,Government of United Kingdom|IZL [Etzel],intrastate_conflict,,location=Israel; intensity_level=1(minor_conflict); type_of_conflict=1
417:1946,UCDP,https://ucdp.uu.se/downloads/,1941-12-31,RUS,Government of Russia (Soviet Union)|UPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=2(war); type_of_conflict=3
417:1947,UCDP,https://ucdp.uu.se/downloads/,1941-12-31,RUS,Government of Russia (Soviet Union)|UPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=2(war); type_of_conflict=3
417:1948,UCDP,https://ucdp.uu.se/downloads/,1941-12-31,RUS,Government of Russia (Soviet Union)|UPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=2(war); type_of_conflict=3
417:1949,UCDP,https://ucdp.uu.se/downloads/,1941-12-31,RUS,Government of Russia (Soviet Union)|UPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
417:1950,UCDP,https://ucdp.uu.se/downloads/,1941-12-31,RUS,Government of Russia (Soviet Union)|UPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
413:1946,UCDP,https://ucdp.uu.se/downloads/,1944-12-31,RUS,Government of Russia (Soviet Union)|Forest Brothers,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
413:1947,UCDP,https://ucdp.uu.se/downloads/,1944-12-31,RUS,Government of Russia (Soviet Union)|Forest Brothers,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
413:1948,UCDP,https://ucdp.uu.se/downloads/,1944-12-31,RUS,Government of Russia (Soviet Union)|Forest Brothers,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
414:1946,UCDP,https://ucdp.uu.se/downloads/,1945-12-31,RUS,Government of Russia (Soviet Union)|LNPA,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
415:1946,UCDP,https://ucdp.uu.se/downloads/,1945-12-31,RUS,Government of Russia (Soviet Union)|LTS(p)A,internationalized_intrastate_conflict,,location=Russia (Soviet Union); intensity_level=1(minor_conflict); type_of_conflict=3
406:1966,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=1(minor_conflict); type_of_conflict=3
406:1967,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=1(minor_conflict); type_of_conflict=3
406:1968,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=1(minor_conflict); type_of_conflict=3
406:1979,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=2(war); type_of_conflict=3
406:1980,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=2(war); type_of_conflict=3
406:1981,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=1(minor_conflict); type_of_conflict=3
406:1982,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=2(war); type_of_conflict=3
406:1983,UCDP,https://ucdp.uu.se/downloads/,1946-05-31,IRN,Government of Iran|KDPI,internationalized_intrastate_conflict,,location=Iran; intensity_level=1(minor_conflict); type_of_conflict=3
