country_code,year,metric_id,value,unit,source_url,source_name,raw_record_id,calculation,notes,sample_size,question_wording,response_mapping
CHN,2018,attachment_to_country_score,3.2627,score,https://www.worldvaluessurvey.org/,World Values Survey,da55b39d4d5f9af3,country_inverted_mean,Q257;wvs_wave=7,3000,Feel close to your country,1=very close to 4=not close at all; score=5-mean
CHN,2018,national_pride_score,1.6395,score,https://www.worldvaluessurvey.org/,World Values Survey,45182fbc80573f29,country_mean,Q254;wvs_wave=7,3001,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
CHN,2018,religious_identity_strength,1.8117,score,https://www.worldvaluessurvey.org/,World Values Survey,6ba91432a673819b,country_inverted_mean,Q173;wvs_wave=7,3000,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
CHN,2018,social_trust_score,65.4370,score,https://www.worldvaluessurvey.org/,World Values Survey,fa1defa9fd61243c,country_pct_yes,Q57;wvs_wave=7,3009,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
CHN,2018,support_for_traditional_values,2.4314,score,https://www.worldvaluessurvey.org/,World Values Survey,da581de97b787b43,country_inverted_mean,Q45;wvs_wave=7,3004,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
CHN,2018,trust_courts_score,1.8647,score,https://www.worldvaluessurvey.org/,World Values Survey,924132319e9524d6,country_mean,Q70;wvs_wave=7,3022,Confidence: Justice System/Courts,1=great deal to 4=none at all
CHN,2018,trust_government_score,1.5610,score,https://www.worldvaluessurvey.org/,World Values Survey,3a1546540a5121f3,country_mean,Q71;wvs_wave=7,3027,Confidence: The Government,1=great deal to 4=none at all
CHN,2018,trust_military_score,1.5426,score,https://www.worldvaluessurvey.org/,World Values Survey,a132fa8bff81a442,country_mean,Q65;wvs_wave=7,3026,Confidence: Armed Forces,1=great deal to 4=none at all
CHN,2018,trust_police_score,1.8734,score,https://www.worldvaluessurvey.org/,World Values Survey,8750e30feb3f9fd0,country_mean,Q69;wvs_wave=7,3026,Confidence: The Police,1=great deal to 4=none at all
CHN,2018,willingness_to_fight_score,89.6333,score,https://www.worldvaluessurvey.org/,World Values Survey,9b8854bc2d83b84d,country_pct_yes,Q151;wvs_wave=7,3000,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
