indicatorId,geoUnit,year,type,subtype,value
LR.AG15T99,ABW,2000,Data Status,Data reporting,"Literacy definition:
Literacy is defined as the ability to read text and write a letter."
LR.AG15T99,ABW,2000,Source,Data sources,Source: Population Census
LR.AG15T99,ABW,2010,Data Status,Data reporting,"Literacy definition:
Are you able to read a simple text and to write a letter?"
LR.AG15T99,ABW,2010,Source,Data sources,Source: Population Census
LR.AG15T99,AFG,2011,Data Status,Data reporting,"Literacy definition:
Can you read and write?"
LR.AG15T99,AFG,2011,Source,Data sources,Source: Household Survey
LR.AG15T99,AFG,2015,Source,Data sources,Afghanistan DHS 2015. A literacy test was administered to men and women aged 15-49 whose highest level of educational attendance was primary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,AFG,2020,Source,Data sources,"UIS based on LFS - Labour Force Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 6 years and above were asked to self-assess their ability to read and write by responding yes or no."
LR.AG15T99,AFG,2021,Data Status,Data reporting,"Literacy definition:
Can you read and write?"
LR.AG15T99,AFG,2021,Source,Data sources,Source: Income and Expenditure & Labor Force Surveys
LR.AG15T99,AGO,2001,Data Status,Data reporting,"Literacy definition:
Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper."
LR.AG15T99,AGO,2001,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
LR.AG15T99,AGO,2014,Data Status,Data reporting,"Literacy definition:
Does (NAME) know how to read? 

Does (NAME) know how to write?"
LR.AG15T99,AGO,2014,Source,Data sources,Source: Population Census
LR.AG15T99,AGO,2015,Source,Data sources,Angola DHS 2015-16. A literacy test was administered to women aged 15-49 and men aged 15-54 whose highest level of educational attendance was upper secondary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,AGO,2023,Source,Data sources,Angola DHS 2023-24. A literacy test was administered to women aged 15-49 and men aged 15-54 whose highest level of educational attendance was upper secondary schooling or lower. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,ALB,2001,Data Status,Data reporting,"Literacy definition:
A person who acquires the capacities of reading and writing by himself or herself and never attended any kind of educational programme is considered literate. A person who acquires these capacities from schooling or literacy programme"
LR.AG15T99,ALB,2001,Source,Data sources,Source: Population Census
LR.AG15T99,ALB,2008,Data Status,Data reporting,"Literacy definition:
Literate persons are those who can read and write."
LR.AG15T99,ALB,2008,Source,Data sources,Source: Living Standards Measurement Survey
LR.AG15T99,ALB,2011,Data Status,Data reporting,"Literacy definition:
Do you know how to read and write?"
LR.AG15T99,ALB,2011,Source,Data sources,Source: Population Census
LR.AG15T99,ALB,2012,Data Status,Data reporting,"Literacy definition:
Can you write a personal letter?

Can you read a newspaper?"
LR.AG15T99,ALB,2012,Source,Data sources,Source: Living Standards Measurement Survey
LR.AG15T99,ALB,2017,Source,Data sources,Albania DHS 2017-18. A literacy test was administered to men and women aged 15-59 whose highest level of educational attendance was lower secondary schooling or lower. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,ALB,2023,Data Status,Data reporting,"Literacy definition:
Can a person read and write a short statement on his or her everyday life?"
LR.AG15T99,ALB,2023,Source,Data sources,Source: Population Census
LR.AG15T99,ARE,2005,Data Status,Data reporting,"Literacy definition:
A person who cannot read and write, or a person who can only read is considered illiterate."
LR.AG15T99,ARE,2005,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARE,2019,Data Status,Data reporting,"Literacy definition:
A person who cannot read and write, or a person who can only read is considered illiterate."
LR.AG15T99,ARE,2019,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARE,2021,Data Status,Data reporting,"Literacy definition:
Can the individual read and write?"
LR.AG15T99,ARE,2021,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARE,2022,Data Status,Data reporting,"Literacy definition:
Can the individual read and write?"
LR.AG15T99,ARE,2022,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARE,2023,Data Status,Data reporting,"Literacy definition:
Can you read and write in any language?"
LR.AG15T99,ARE,2023,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARE,2024,Data Status,Data reporting,"Literacy definition:
Can you read and write in any language?"
LR.AG15T99,ARE,2024,Source,Data sources,Source: Labour Force Survey
LR.AG15T99,ARG,2001,Data Status,Data reporting,"Literacy definition:
Literate is a person who can read and write."
LR.AG15T99,ARG,2001,Source,Data sources,Source: Population Census
LR.AG15T99,ARG,2020,Data Status,Data reporting,"Literacy definition:
Literate is a person who can read and write."
LR.AG15T99,ARG,2020,Source,Data sources,Source: Household survey for 31 most important urban cities
LR.AG15T99,ARM,2001,Data Status,Data reporting,"Literacy definition:
Literate are those individuals aged 7 years and older who can read and understand in any language."
LR.AG15T99,ARM,2001,Source,Data sources,Source: Population Census
LR.AG15T99,ARM,2011,Data Status,Data reporting,"Literacy definition:
Question: For those without primary education, are they literate? Yes, No. 
The definition of literate given in the instruction:  Literate is a person who can both  read and write a short simple statement on his/her everyday life with"
LR.AG15T99,ARM,2011,Source,Data sources,Source: Population Census
LR.AG15T99,ARM,2016,Data Status,Data reporting,"Literacy definition:
A literate person has primary education, or can read and write on more simple concepts in any language. For those without primary education, additional question was asked - Are youliterate?  Yes, No. 
The definition of literate provid"
LR.AG15T99,ARM,2016,Source,Data sources,Source: Population Census
LR.AG15T99,ARM,2017,Data Status,Data reporting,"Literacy definition:
A literate person has primary education or can read and write simple concepts in any language. 
For those with no primary education, ask: - Are you literate? Yes, No
Description: Literate were considered the persons who can read and u"
LR.AG15T99,ARM,2017,Source,Data sources,Source: Administrative records and register based national estimates
LR.AG15T99,ARM,2018,Source,Data sources,"UIS based on LFS - Household Labour Force Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 6+ were classified as literate or not based on their highest completed education. Illiterate was coded as not literate; all other education levels (No primary, Primary, Basic, Secondary / high, Vocational, Secondary, Bachelor's, Master's, Certified specialist, Post-graduate) were coded as literate."
