Intellectual property right :Patent

Indicator :6a- Patent family by origin

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"China","CN","Total","33","28","30","33","41","3971","3045","3548","4159","4243","5366","6592","8912","10643","9830","9000","10232","11235","12399","14661","23079","27745","38704","53244","63504","85706","109273","133112","165770","201926","254577","339742","456492","591846","679503","827724","1032790","1239254","1371928","1226985","1419718","1449194","1517232","1608946","",
"Egypt","EG","Total","12","14","12","22","21","20","34","34","51","44","47","52","39","42","24","34","44","59","71","80","84","62","89","92","134","132","108","117","91","108","123","71","60","58","65","56","48","46","53","37","58","62","50","47","",
"Ethiopia","ET","Total","","","","","","","","","","","","","1","","","","","","","","","","1","4","","","","","","1","1","1","","","","","","","1","","1","2","1","1","",
"India","IN","Total","558","485","504","532","485","484","503","443","476","552","586","652","690","685","880","788","587","620","730","602","735","957","1218","1415","1457","1300","1469","1460","1651","1683","1998","2191","2373","4489","3571","3307","2555","2731","3072","2804","3132","3218","3510","4370","",
"Iran (Islamic Republic of)","IR","Total","4","2","2","1","2","3","","2","2","1","3","3","","1","6","7","7","7","1","12","11","10","5","7","10","17","19","34","31","47","60","61","36","45","89","131","200","181","203","198","249","305","279","259","",
"Israel","IL","Total","767","828","785","783","815","921","926","1018","1094","1221","1215","1127","1234","1332","1478","1610","1567","1819","1878","2076","2427","2327","2288","2353","2645","2460","3017","3310","2978","2787","2819","2825","2925","3013","3140","3098","3092","3284","3342","3326","3619","3317","3249","2944","",
"Pakistan","PK","Total","2","1","","1","1","1","","","","3","","7","","2","2","1","2","11","2","1","4","1","4","1","","6","10","15","8","8","10","19","4","29","17","15","34","15","20","15","16","21","6","16","",
"Russian Federation","RU","Total","","","","","","","","","","","","","21404","14518","16107","13074","12604","11731","12931","14998","16838","19518","21384","23331","22161","22690","25879","26221","26745","24093","26508","25570","27607","26910","22346","27025","23544","20415","21284","21995","21279","8132","746","732","",
"Saudi Arabia","SA","Total","2","11","6","5","5","3","5","10","4","9","10","9","10","17","26","23","19","26","34","32","30","40","59","72","102","85","79","111","154","182","338","476","437","594","624","685","693","853","925","1198","1400","1442","1543","2098","",
"Türkiye","TR","Total","32","41","57","64","76","57","68","65","50","49","62","63","76","64","50","66","106","119","110","177","176","190","292","317","415","623","770","1099","1354","1568","2019","2091","1101","1109","1414","1986","3678","4886","4741","4817","5915","5982","4025","2092","",
"Ukraine","UA","Total","241","224","270","347","429","490","652","925","1045","1517","2542","3805","1993","2018","1866","1790","1559","2265","4409","4636","5278","6864","8074","10295","2641","2284","2279","2551","2028","1791","1943","1977","1886","2128","1666","1546","1450","1407","1351","1271","846","639","310","179","",
"United States of America","US","Total","44471","42672","42800","42190","42281","43789","44202","48538","53704","59226","65573","69465","75046","77803","79715","85101","86255","94293","101513","111252","130609","129767","131236","130219","133587","139861","142395","147456","143109","130631","136297","149639","162130","177599","167794","169299","171775","175073","174966","173438","174122","162288","150666","141476","",
